filename,width,height,depth,segmented,name,pose,truncated,difficult,xmin,ymin,xmax,ymax
0.jpg,0,0,3,0,fracture,Unspecified,0,0,194,38,217,67
1.jpg,478,640,1,0,fracture,Unspecified,0,0,159,342,209,402
1.jpg,478,640,1,0,fracture,Unspecified,0,0,111,351,168,415
2.jpg,1280,1539,1,0,fracture,Unspecified,0,0,595,1023,657,1104
3.jpg,909,1024,3,0,fracture,Unspecified,0,0,564,517,652,632
4.jpg,0,0,3,0,fracture,Unspecified,0,0,200,192,237,238
5.jpg,274,300,1,0,fracture,Unspecified,0,0,105,143,135,171
6.jpg,153,303,1,0,fracture,Unspecified,0,0,22,46,49,83
7.jpg,492,473,1,0,fracture,Unspecified,0,0,332,222,410,305
8.jpg,750,881,1,0,fracture,Unspecified,0,0,492,596,529,636
9.jpg,821,1024,1,0,fracture,Unspecified,0,0,452,533,549,660
10.jpg,300,288,1,0,fracture,Unspecified,0,0,204,129,246,182
11.jpg,360,600,3,0,fracture,Unspecified,0,0,197,121,274,202
12.jpg,602,1024,1,0,fracture,Unspecified,0,0,193,248,251,338
12.jpg,602,1024,1,0,fracture,Unspecified,0,0,277,225,346,313
12.jpg,602,1024,1,0,fracture,Unspecified,0,0,395,246,469,341
13.jpg,721,1024,1,0,fracture,Unspecified,0,0,476,208,571,333
14.jpg,347,751,1,0,fracture,Unspecified,0,0,92,379,172,507
15.jpg,258,626,3,0,fracture,Unspecified,0,0,48,265,150,367
16.jpg,226,299,1,0,fracture,Unspecified,0,0,80,132,133,219
17.jpg,0,0,3,0,fracture,Unspecified,0,0,124,28,155,55
17.jpg,0,0,3,0,fracture,Unspecified,0,0,73,34,105,58
18.jpg,824,1199,1,0,fracture,Unspecified,0,0,521,615,598,853
19.jpg,800,1093,1,0,fracture,Unspecified,0,0,320,711,414,782
20.jpg,285,380,1,0,fracture,Unspecified,0,0,222,215,255,252
20.jpg,285,380,1,0,fracture,Unspecified,0,0,189,200,217,233
21.jpg,0,0,3,0,fracture,Unspecified,0,0,49,114,96,162
21.jpg,0,0,3,0,fracture,Unspecified,0,0,77,48,113,87
22.jpg,591,1024,1,0,fracture,Unspecified,0,0,466,314,538,403
23.jpg,0,0,3,0,fracture,Unspecified,0,0,272,386,354,569
23.jpg,0,0,3,0,fracture,Unspecified,0,0,358,417,405,487
23.jpg,0,0,3,0,fracture,Unspecified,0,0,411,391,458,532
24.jpg,488,812,1,0,fracture,Unspecified,0,0,154,553,204,602
25.jpg,872,1024,1,0,fracture,Unspecified,0,0,578,202,675,349
25.jpg,872,1024,1,0,fracture,Unspecified,0,0,570,67,609,132
26.jpg,0,0,3,0,fracture,Unspecified,0,0,198,39,212,60
27.jpg,484,734,1,0,fracture,Unspecified,0,0,310,355,357,425
28.jpg,360,360,3,0,fracture,Unspecified,0,0,133,129,208,232
29.jpg,841,1024,1,0,fracture,Unspecified,0,0,521,157,594,271
30.jpg,896,1024,1,0,fracture,Unspecified,0,0,557,533,627,609
31.jpg,540,746,1,0,fracture,Unspecified,0,0,61,382,126,438
32.jpg,768,964,1,0,fracture,Unspecified,0,0,515,457,579,536
33.jpg,563,1125,3,0,fracture,Unspecified,0,0,225,705,346,827
34.jpg,345,768,1,0,fracture,Unspecified,0,0,198,478,246,529
35.jpg,582,1500,1,0,fracture,Unspecified,0,0,267,470,328,538
36.jpg,644,1754,1,0,fracture,Unspecified,0,0,237,814,364,933
37.jpg,520,1466,1,0,fracture,Unspecified,0,0,227,695,327,853
38.jpg,492,473,1,0,fracture,Unspecified,0,0,336,223,404,299
39.jpg,279,667,3,0,fracture,Unspecified,0,0,25,408,106,503
